experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:188:101010-2-3,[1- 0- 1- 0- 1- 0- 2- 0- 0- 3- 0- 0- 0],[576000- 0- 576000- 0- 576000- 0- 0- 0- 0- 2400000- 0- 0- 0],[1- 0- 1- 0- 1- 0- 2- 3],[576000- 0- 576000- 0- 576000- 0- 1478400- 2400000],12.9248547023353,396.064970804333,76037200000,1.69981E-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:191:222022-1-3,[2- 2- 2- 0- 2- 2- 1- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 0- 1363200- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 0- 2- 2- 1- 3],[1363200- 1363200- 1363200- 0- 1363200- 1363200- 652800- 2400000],17.9776183946517,547.335510357609,188372000000,9.54368E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:194:222202-3-2,[2- 2- 2- 2- 0- 2- 3- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 2- 2- 0- 2- 3- 2],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 2208000- 1766400],17.984386490349,539.530074808529,188258000000,9.55305E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:196:222222-1-2,[2- 2- 2- 2- 2- 2- 1- 0- 0- 2- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 1766400- 0- 0- 0],[2- 2- 2- 2- 2- 2- 1- 2],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 652800- 1766400],17.8171709875973,544.461115773839,187451000000,9.50498E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:197:022222-1-1,[0- 2- 2- 2- 2- 2- 1- 0- 0- 1- 0- 0- 0],[0- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 806400- 0- 0- 0],[0- 2- 2- 2- 2- 2- 1- 1],[0- 1363200- 1363200- 1363200- 1363200- 1363200- 652800- 806400],17.8136328789872,547.225988212559,188320000000,9.45924E-11
experiment_automatization/summary_files_only/summary_third_result_cleaned_with_configuration_really_tested.csv:58:202222-1-3,[2- 0- 2- 2- 2- 2- 1- 0- 0- 3- 0- 0- 0],[1363200- 0- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 0- 2- 2- 2- 2- 1- 3],[1363200- 0- 1363200- 1363200- 1363200- 1363200- 652800- 2400000],17.65816139009,542.851935040888,188238000000,9.38076E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:184:222202-0-1,[2- 2- 2- 2- 0- 2- 0- 0- 0- 1- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 0- 0- 0- 806400- 0- 0- 0],[2- 2- 2- 2- 0- 2- 0- 1],[1363200- 1363200- 1363200- 1363200- 0- 1363200- 0- 806400],18.3191369059882,558.347775598573,188126000000,9.7377E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:190:222002-2-3,[2- 2- 2- 0- 0- 2- 2- 0- 0- 3- 0- 0- 0],[1363200- 1363200- 1363200- 0- 0- 1363200- 0- 0- 0- 2400000- 0- 0- 0],[2- 2- 2- 0- 0- 2- 2- 3],[1363200- 1363200- 1363200- 0- 0- 1363200- 1478400- 2400000],18.1188341516786,550.856369056302,188485000000,9.61288E-11
experiment_automatization/summary_files_only/summary_third_result_cleaned_with_configuration_really_tested.csv:47:222222-2-0,[2- 2- 2- 2- 2- 2- 2- 0- 0- 0- 0- 0- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 0- 0- 0- 0- 0- 0- 0],[2- 2- 2- 2- 2- 2- 2- 0],[1363200- 1363200- 1363200- 1363200- 1363200- 1363200- 1478400- 0],20.2730896056071,601.322801773606,1011640000000,2.00398E-11
experiment_automatization/summary_files_only/summary_fifth_experiments_02Aug22_05_37_44_with_configuration_really_tested.csv:25:000300-0-0,[0- 0- 0- 3- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 1804800- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 0- 0- 3- 0- 0- 0- 0],[0- 0- 0- 1804800- 0- 0- 0- 0],22.60411372898465,679.1110430942529,3.66153e+10,6.17341e-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:3:100000-0-0,[1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 0- 0- 0- 0],22.55499,679.99,62060000000.00001,3.6343844666451816e-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:142:010100-0-0,[0- 1- 0- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0],[0- 1- 0- 1- 0- 0- 0- 0],[0- 576000- 0- 576000- 0- 0- 0- 0],23.5175293800191,721.862597545539,77422300000,3.03757E-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:192:033033-1-2,[0- 3- 3- 0- 3- 3- 1- 0- 0- 2- 0- 0- 0],[0- 1804800- 1804800- 0- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[0- 3- 3- 0- 3- 3- 1- 2],[0- 1804800- 1804800- 0- 1804800- 1804800- 652800- 1766400],24.5924899083227,745.507520977074,252710000000,9.73151E-11
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:199:033333-0-0,[0- 3- 3- 3- 3- 3- 0- 0- 0- 0- 0- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 0- 0- 0- 0],[0- 3- 3- 3- 3- 3- 0- 0],[0- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0],24.0280687781385,730.411225048072,252880000000,9.50177E-11
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:4:200000-0-0,[2- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[2- 0- 0- 0- 0- 0- 0- 0],[1363200- 0- 0- 0- 0- 0- 0- 0],24.78502,746.01,126699999999.99998,1.9561973164956593e-10
experiment_automatization/summary_files_only/summary_google_pixel_varying_frequency_with_configuration_really_tested.csv:6:110000-0-0,[1- 1- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 0- 0- 0- 0- 0],24.2773,729.67,141737000000.0,1.7128413893337662e-10
experiment_automatization/summary_files_only/summary_third_result_cleaned_with_configuration_really_tested.csv:11:100011-0-0,[1- 0- 0- 0- 1- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 0- 0- 0- 576000- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 0- 0- 0- 1- 1- 0- 0],[576000- 0- 0- 0- 576000- 576000- 0- 0],24.1374403681183,745.080930738542,120518000000,2.00281E-10
experiment_automatization/summary_files_only/summary_fourth_experiments__31Jul22_22_49_44_with_configuration_really_tested.csv:189:333333-2-2,[3- 3- 3- 3- 3- 3- 2- 0- 0- 2- 0- 0- 0],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 0- 0- 0- 1766400- 0- 0- 0],[3- 3- 3- 3- 3- 3- 2- 2],[1804800- 1804800- 1804800- 1804800- 1804800- 1804800- 1478400- 1766400],25.3623210355619,760.418445407865,250600000000,1.01206E-10
experiment_automatization/summary_files_only/summary_fifth_experiments_02Aug22_05_37_44_with_configuration_really_tested.csv:6:111101-0-0,[1- 1- 1- 1- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 576000- 576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 1- 1- 0- 1- 0- 0],[576000- 576000- 576000- 576000- 0- 576000- 0- 0],26.767238609212782,810.8801810656187,2.07301e+11,1.29123e-10
experiment_automatization/summary_files_only/summary_first_results_with_configuration_really_tested.csv:22:110101-0-0,[1- 1- 0- 1- 0- 1- 0- 0- 0- 0- 0- 0- 0],[576000- 576000- 0- 576000- 0- 576000- 0- 0- 0- 0- 0- 0- 0],[1- 1- 0- 1- 0- 1- 0- 0],[576000- 576000- 0- 576000- 0- 576000- 0- 0],26.332761918292903,801.3493268960704,1.63431e+11,1.61125e-10
